"Ticker","Nome","Negócios","Última (R$)","Variação"
"GMAT3","Grupo Mateus","1.988.600","7,90","+0,77%"
"AZTE3","AZT Energia","1.986.900","0,61","-1,61%"
"AMER3","Americanas","1.982.700","5,42","-4,24%"
"SLCE3","SLC Agrícola","1.964.800","18,66","+0,16%"
"KLBN4","Klabin","1.920.100","3,62","-1,63%"
"CAML3","Camil Alimentos","1.914.000","5,09","+2,62%"
"SMTO3","São Martinho","1.884.200","20,19","+0,85%"
"QUAL3","Qualicorp","1.786.300","2,06","-1,44%"
"TTEN3","3tentos","1.747.900","14,19","-0,35%"
"LJQQ3","Lojas Quero-Quero","1.746.400","2,64","-0,38%"
"VVEO3","Viveo","1.745.200","1,29","+4,88%"
"MLAS3","Multilaser","1.616.300","1,11","+0,91%"
"CEAB3","C&A","1.613.100","17,91","-0,56%"
"SAPR11","Sanepar","1.568.300","33,77","+1,66%"
"ONCO3","Oncoclínicas","1.543.000","4,61","+1,10%"
"FLRY3","Fleury","1.537.900","12,77","-0,31%"
"SBFG3","Grupo SBF","1.497.400","12,03","+2,82%"
"RCSL4","Recrusul","1.353.800","1,05","+0,00%"
"GRND3","Grendene","1.325.000","5,30","-1,12%"
"SAPR4","Sanepar","1.300.000","6,75","+2,90%"
"DIRR3","Direcional","1.287.500","41,16","+0,51%"
"KEPL3","Kepler Weber","1.270.800","8,43","+2,43%"
"SEER3","Ser Educacional","1.233.000","10,55","+3,43%"
"GUAR3","Guararapes","1.196.100","8,09","-0,25%"
"IRBR3","IRB Brasil RE","1.144.500","48,60","-3,34%"
"PMAM3","Paranapanema","1.131.800","1,98","-2,46%"
"PGMN3","Pague Menos","1.111.900","3,37","+1,51%"
"MILS3","Mills","1.051.500","10,82","+1,12%"
"DXCO3","Dexco","1.047.800","5,58","-0,89%"
"TAEE11","Taesa","1.010.800","34,01","-0,50%"
"AZEV3","Azevedo & Travassos","979.300","0,52","+0,00%"
"AZEV4","Azevedo & Travassos","945.100","0,69","+0,00%"
"EZTC3","EZTEC","914.900","13,55","-0,95%"
"ZAMP3","Zamp","914.300","3,38","+0,90%"
"PORT3","Wilson Sons","913.000","17,42","-0,11%"
"POSI3","Positivo","910.400","4,54","+2,25%"
"BPAN4","Banco Pan","900.900","8,32","+1,34%"
"EGIE3","Engie","893.400","40,25","-0,86%"
"MYPK3","Iochpe-Maxion","811.900","12,76","+0,16%"
"ELET6","Eletrobras","809.000","46,09","-0,52%"
"ENJU3","Enjoei","764.800","1,24","+2,48%"
"EVEN3","Even","759.700","7,18","-0,28%"
"PLPL3","Plano&Plano","756.700","16,05","+0,25%"
"LVTC3","WDC Networks","756.100","3,55","+5,34%"
"TFCO4","Track & Field","747.900","15,03","+2,24%"
"CPFE3","CPFL Energia","706.800","40,26","-0,07%"
"SEQL3","Sequoia Logística","705.800","1,90","+9,20%"
"MDNE3","Moura Dubeux","691.300","23,50","-0,55%"
"PINE4","Banco Pine","636.800","5,62","+8,08%"
"ORVR3","Orizon","618.400","52,34","-0,72%"
"SOJA3","Boa Safra Sementes","595.500","11,48","+0,61%"
"PNVL3","Dimed","586.700","8,17","-0,73%"
"RANI3","Irani","585.800","7,76","+3,05%"
"DASA3","Dasa","585.700","1,57","-1,88%"
"PTBL3","Portobello","575.900","5,28","+4,35%"
"LIGT3","Light","549.900","7,19","+0,98%"
"ALUP11","Alupar","488.200","30,03","-0,03%"
"NEOE3","Neoenergia","442.400","24,34","-0,21%"
"TUPY3","Tupy","438.000","18,88","+1,02%"
"VULC3","Vulcabras","424.800","19,54","-0,20%"
"SYNE3","SYN","414.600","5,59","+1,64%"
"VTRU3","VITRUBREPCOM","413.100","9,52","-0,73%"
"KLBN3","Klabin","403.100","3,82","-1,80%"
"MTRE3","Mitre Realty","400.700","3,96","-0,25%"
"SHUL4","Schulz","400.500","5,38","+1,89%"
"JSLG3","JSL","394.500","6,18","-2,37%"
"LAVV3","Lavvi Incorporadora","391.800","12,05","+0,08%"
"ITUB3","Itaú Unibanco","390.100","32,16","+0,85%"
"MDIA3","M. Dias Branco","371.200","23,18","-1,19%"
"TRIS3","Trisul","369.800","7,86","+0,13%"
"HBRE3","HBR Realty","363.400","3,48","+1,46%"
"JALL3","Jalles Machado","327.900","4,06","+0,00%"
"ARML3","Armac","323.100","5,23","+2,15%"
"FESA4","Ferbasa","321.800","7,07","+0,28%"
"WIZC3","Wiz Soluções","302.200","7,45","+0,68%"
"MATD3","Mater Dei","300.400","4,45","-2,41%"
"USIM3","Usiminas","299.700","5,06","+0,20%"
"BRST3","Brisanet","289.600","2,86","-1,04%"
